rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4844	573	566	935.609	1209.33	1193.6	0.028909	0.999457	1.35355	1.24054	1.2533	1.08219	449	0	100	1	0.136073	0.231833	0.123649	0.123663	0.0210437	1060	nan	nan	nan
0	1	6387	996	985	1233.64	1298.85	1294.55	0.00599833	0.180624	0.501095	0.633542	0.46332	0.552119	601	0	96	0.999192	0.088005	0.15375	0.100126	0.100143	0.0148903	2299	3014	0	0.0397048
1	0	4860	620	609	938.699	1103.89	1203.2	-0.182023	0.601188	1.03782	1.10296	0.953515	0.951427	453	0	100	1	0.128421	0.216049	0.112302	0.112324	0.019444	1179	nan	nan	nan
1	1	5874	1145	1108	1134.55	1148.03	1254.84	-0.161981	0.0405995	0.0694875	0.0735426	0.023321	0.00242713	575	0	98	0.999596	0.0900732	0.156622	0.0957863	0.0958472	0.0151476	2016	2932	0	0.0338952
2	0	4449	570	561	859.315	1008.65	1146.74	-0.276447	0.593657	1.02525	1.08975	0.944218	0.943454	412	0	100	1	0.138264	0.229715	0.112084	0.112104	0.0190711	1109	nan	nan	nan
2	1	5577	882	871	1077.19	1124.06	1140.2	-0.0257876	0.148674	0.4626	0.601406	0.425469	0.52081	556	0	95	0.99899	0.0920014	0.159943	0.0992061	0.099225	0.0163876	2051	2740	0	0.0451578
3	0	4529	516	516	874.767	1064.78	1222.43	-0.310037	0.742029	1.23472	1.28753	1.15634	1.14334	399	0	97	0.999394	0.146864	0.244425	0.116417	0.116417	0.0207312	1040	nan	nan	nan
3	1	5912	1106	1100	1141.89	1131.66	1226.82	-0.143397	-0.0306083	0.0546052	0.115288	0.0587536	0.113087	555	0	98	0.999596	0.0910167	0.157645	0.0938496	0.0938594	0.0151507	2177	2800	0	0.0311747
4	0	4655	652	645	899.104	1068.95	1134.65	-0.125705	0.645337	0.928109	0.887341	0.860109	0.775308	427	0	97	0.999394	0.132574	0.220193	0.113426	0.11344	0.0188128	1249	nan	nan	nan
4	1	5683	987	975	1097.66	1147.18	1133.53	0.0214055	0.154146	0.308894	0.351126	0.283022	0.301978	538	0	96	0.999192	0.0899331	0.155904	0.0992061	0.0992264	0.0165275	2098	2754	0	0.0359025
5	0	4782	571	565	923.634	1087.38	1147.71	-0.112384	0.605643	1.11329	1.21924	1.03231	1.06643	453	0	98	0.999596	0.115666	0.199498	0.112507	0.112519	0.0206833	1132	nan	nan	nan
5	1	5968	1038	1022	1152.71	1211.66	1041.89	0.253427	0.174758	0.32404	0.356354	0.291706	0.298468	599	0	98	0.999596	0.0772583	0.135054	0.0997862	0.099812	0.0152898	2101	2904	0	0.0483709
6	0	4650	599	590	898.138	1102.1	1157.78	-0.106663	0.775784	1.12228	1.07718	1.03512	0.933752	440	0	97	0.999394	0.135728	0.230108	0.117224	0.117243	0.020179	1192	nan	nan	nan
6	1	5699	988	967	1100.75	1133.2	1133.69	-0.000755999	0.100732	0.297333	0.381802	0.257386	0.30638	559	0	97	0.999394	0.0849421	0.149675	0.0976998	0.0977356	0.0155425	2041	2786	0	0.0350529
7	0	4604	588	581	889.253	1095.94	1105.53	-0.0185523	0.794019	1.13977	1.0883	1.05516	0.949248	456	0	97	0.999192	0.115142	0.199826	0.11775	0.117764	0.0197463	1048	nan	nan	nan
7	1	5797	1034	1024	1119.68	1118.63	1111.71	0.010625	-0.00320457	0.166433	0.268523	0.154957	0.235849	548	0	99	0.999798	0.0759144	0.133517	0.0947118	0.0947286	0.0154762	2064	2865	0	0.0332784
8	0	4278	646	632	826.287	993.612	1064.51	-0.147596	0.691735	0.861215	0.737967	0.782386	0.621002	417	0	97	0.999394	0.135375	0.225573	0.114631	0.114662	0.0198273	1113	nan	nan	nan
8	1	5413	991	977	1045.51	1080.41	1062.76	0.029043	0.114049	0.194752	0.205863	0.173532	0.169427	516	0	98	0.999596	0.0953437	0.164788	0.097976	0.0980012	0.0151777	2068	2591	0	0.0339718
9	0	4688	524	517	905.478	1123.86	1211.03	-0.165609	0.823926	1.31921	1.34707	1.22039	1.17387	441	0	94	0.998788	0.149563	0.24744	0.118755	0.11877	0.0204007	1133	nan	nan	nan
9	1	6005	1046	1033	1159.85	1191.67	1231.74	-0.0594426	0.0937386	0.269426	0.343725	0.245947	0.294799	585	0	100	1	0.0972685	0.165862	0.0974927	0.0975139	0.0152725	2235	2843	0	0.0360133
rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4754	598	589	918.225	1157.4	1331.45	-0.326085	0.889857	1.2185	1.12583	1.12449	0.976484	433	0	98	0.999596	0.165159	0.269247	0.12048	0.120498	0.0212528	1043	nan	nan	nan
0	1	6068	1004	993	1172.02	1254.64	1323.9	-0.101684	0.240871	0.439665	0.480061	0.406381	0.417886	578	0	98	0.999596	0.099555	0.169249	0.101741	0.101758	0.0159407	2140	2946	0	0.0389956
1	0	4825	581	575	931.939	1139.87	1206.98	-0.123902	0.762215	1.19314	1.20271	1.10659	1.05225	482	0	97	0.999192	0.131841	0.222798	0.116923	0.116936	0.0203866	1103	nan	nan	nan
1	1	6065	1119	1101	1171.44	1182.79	1291.09	-0.15909	0.0330882	0.137502	0.18899	0.116939	0.14941	586	0	98	0.999596	0.0869063	0.149547	0.0956761	0.0957052	0.0155177	2144	2984	0	0.0410363
2	0	4808	551	550	928.655	1178.97	1271.54	-0.171486	0.92084	1.33323	1.28038	1.2458	1.13415	453	0	99	0.999798	0.144581	0.240433	0.121462	0.121464	0.019691	1107	nan	nan	nan
2	1	5847	961	948	1129.34	1241.91	1291.18	-0.075068	0.340592	0.512517	0.504583	0.469984	0.433358	590	0	95	0.998788	0.100924	0.17479	0.104567	0.104589	0.0169431	1991	2946	0	0.0379088
3	0	4608	514	502	890.026	1080.87	1136.5	-0.107522	0.732525	1.28016	1.36876	1.17364	1.17704	457	0	98	0.999596	0.126981	0.214193	0.116171	0.116196	0.0185715	1057	nan	nan	nan
3	1	5950	1136	1119	1149.23	1167.88	1167.17	0.00106291	0.0554483	0.0837639	0.0826676	0.0687421	0.0588519	589	0	98	0.999596	0.0821987	0.14084	0.0962436	0.0962717	0.0149131	2189	2871	0	0.0286295
4	0	4449	527	517	859.315	1112.57	1227.13	-0.229339	1.00676	1.36403	1.25048	1.25549	1.07959	425	0	99	0.999798	0.154002	0.254664	0.123858	0.12388	0.0205895	965	nan	nan	nan
4	1	5884	973	970	1136.48	1223.81	1215.4	0.0127284	0.262545	0.439812	0.460349	0.418837	0.419184	567	0	93	0.998182	0.0906	0.157716	0.102353	0.102358	0.0160834	2189	2828	0	0.0358329
5	0	4415	631	617	852.748	1060.36	1106.51	-0.0930922	0.831678	1.02323	0.86779	0.932888	0.734924	395	0	99	0.999798	0.141595	0.236467	0.118665	0.118696	0.0195078	1212	nan	nan	nan
5	1	5572	1026	1010	1076.22	1107.38	1086.52	0.0333497	0.0989199	0.178172	0.193325	0.155551	0.15454	538	0	97	0.999394	0.086699	0.154164	0.0975413	0.0975696	0.0161903	2168	2584	0	0.0407868
6	0	4494	603	596	868.007	1031.41	1083.73	-0.103691	0.643066	0.987251	0.983736	0.913926	0.858122	424	0	97	0.999394	0.127087	0.216956	0.113422	0.113437	0.0201566	1065	nan	nan	nan
6	1	5807	1105	1075	1121.61	1084.34	1151.52	-0.10306	-0.113538	0.0163982	0.130587	-0.0156539	0.0678248	556	0	99	0.999798	0.0795729	0.142414	0.0914811	0.0915301	0.0153035	2167	2772	0	0.0344368
7	0	4858	512	499	938.313	1115.41	1378.04	-0.481528	0.644811	1.2932	1.47026	1.18445	1.26392	431	0	95	0.998788	0.152152	0.250515	0.113752	0.113778	0.0206435	1118	nan	nan	nan
7	1	5980	979	970	1155.02	1224.68	1302.63	-0.116129	0.206059	0.434251	0.503435	0.404106	0.442482	558	0	95	0.99899	0.0978424	0.168896	0.10077	0.100785	0.0156721	2068	2968	0	0.0345482
8	0	5000	548	538	965.74	1174.03	1198.24	-0.0431263	0.736836	1.29654	1.39103	1.19433	1.20475	457	0	98	0.999596	0.125025	0.2124	0.116312	0.116331	0.0190755	1174	nan	nan	nan
8	1	6135	965	951	1184.96	1236.87	1254.87	-0.026131	0.14968	0.475141	0.62056	0.43408	0.532998	611	0	99	0.999798	0.095044	0.163977	0.0992419	0.0992638	0.0154429	2113	3044	0	0.02583
9	0	4804	565	553	927.883	1093.02	1105.87	-0.0238276	0.607999	1.14563	1.26867	1.05039	1.09174	454	0	98	0.999596	0.12284	0.20587	0.112589	0.112613	0.018493	1199	nan	nan	nan
9	1	5755	1045	1036	1111.57	1132.08	1129.96	0.00327041	0.0630438	0.17021	0.21362	0.160289	0.190551	550	0	97	0.999394	0.0901981	0.156038	0.0965544	0.0965696	0.0159792	1985	2904	0	0.0298354
rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4700	596	590	907.795	1104.62	1170.07	-0.124034	0.740686	1.11584	1.09917	1.03518	0.962083	454	0	97	0.999394	0.13024	0.215532	0.116251	0.116263	0.0204936	1156	nan	nan	nan
0	1	5858	1096	1078	1131.46	1165.48	1222.01	-0.0859694	0.102738	0.152264	0.148481	0.12989	0.112838	545	0	97	0.999394	0.0891241	0.151588	0.0976203	0.0976504	0.0152246	2117	2858	0	0.0323327
1	0	4468	525	509	862.985	1076.86	1299.28	-0.443371	0.846612	1.29505	1.28763	1.1788	1.09301	429	0	97	0.999394	0.151556	0.249776	0.11934	0.119375	0.0217857	1024	nan	nan	nan
1	1	5923	998	986	1144.02	1193.36	1300.22	-0.160721	0.147375	0.35696	0.434069	0.327929	0.375038	582	0	99	0.999798	0.0955758	0.162755	0.0990666	0.0990861	0.016054	2252	2809	0	0.0414879
2	0	4825	642	634	931.939	1164.34	1229.52	-0.120327	0.851929	1.12021	1.00391	1.0362	0.874126	448	0	97	0.999394	0.133499	0.226943	0.119336	0.119353	0.0220472	1213	nan	nan	nan
2	1	5784	960	943	1117.17	1224.15	1199.81	0.0374913	0.327198	0.495596	0.489897	0.44767	0.410547	567	0	97	0.999394	0.0890541	0.155947	0.104171	0.1042	0.0157017	2006	2884	0	0.039573
3	0	4742	528	521	915.908	1166.16	1302.85	-0.256734	0.933431	1.38654	1.35384	1.28297	1.17996	445	0	97	0.999394	0.157562	0.264656	0.121853	0.121868	0.0203835	1096	nan	nan	nan
3	1	6078	1100	1077	1173.95	1241.66	1333.74	-0.134962	0.197061	0.276238	0.259562	0.23759	0.199046	599	0	99	0.999798	0.0905052	0.158934	0.100347	0.100384	0.0151876	2204	2954	0	0.0462863
4	0	4477	612	601	864.723	1067.1	1135.93	-0.136912	0.799505	1.06086	0.957384	0.973959	0.822618	415	0	96	0.999192	0.138293	0.234532	0.117815	0.117839	0.020039	1106	nan	nan	nan
4	1	5880	1037	1029	1135.71	1167.79	1182.54	-0.0223478	0.0965021	0.240658	0.295269	0.227074	0.264159	549	0	98	0.999596	0.0906617	0.158844	0.09755	0.0975633	0.0156308	2250	2722	0	0.0353938
5	0	4437	470	457	856.998	1066.38	1142.49	-0.152773	0.834613	1.39943	1.46512	1.28071	1.25602	440	0	96	0.999192	0.143372	0.239576	0.119117	0.119145	0.0214369	1069	nan	nan	nan
5	1	5820	944	936	1124.12	1140.09	1208.17	-0.104205	0.0485455	0.357542	0.525883	0.334036	0.46378	559	0	99	0.999798	0.0873002	0.150172	0.0963318	0.0963453	0.0153265	2209	2747	0	0.0430541
6	0	4774	666	661	922.088	1119.88	1211.84	-0.17158	0.732791	0.979593	0.8891	0.912129	0.783243	466	0	100	1	0.13723	0.227901	0.115902	0.115912	0.0193721	1185	nan	nan	nan
6	1	5691	964	947	1099.21	1209.83	1144.76	0.101865	0.343863	0.470857	0.435092	0.424591	0.362389	554	0	95	0.99899	0.0926186	0.160604	0.10461	0.104639	0.0161445	1977	2870	0	0.0361317
7	0	4521	638	622	873.222	998.9	1216.57	-0.428828	0.491663	0.849503	0.903164	0.768046	0.760376	418	0	97	0.999394	0.133407	0.224287	0.109076	0.109109	0.0190838	1093	nan	nan	nan
7	1	5860	1059	1047	1131.85	1139.56	1164.68	-0.0381934	0.0232821	0.161047	0.235572	0.147129	0.202747	555	0	100	1	0.0894351	0.153242	0.0954345	0.0954547	0.0148761	2195	2752	0	0.0431232
