rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4491	392	373	867.428	1073.63	1163.3	-0.177838	0.812057	1.58968	1.78933	1.44316	1.51866	436	0	90	0.99798	0.130735	0.220664	0.11867	0.118711	0.0243702	933	nan	nan	nan
0	1	5780	1011	1003	1116.4	1162.13	1137.87	0.0374002	0.139981	0.280704	0.319177	0.263866	0.284546	588	0	94	0.998788	0.0808098	0.139619	0.0987916	0.0988052	0.0152692	2040	2866	0	0.0304089
1	0	4513	515	496	871.677	1140.51	1260.56	-0.236909	1.05357	1.45525	1.35297	1.32116	1.14076	405	0	91	0.99798	0.165559	0.270552	0.125231	0.125271	0.0295418	840	nan	nan	nan
1	1	6076	996	982	1173.57	1237.48	1273.27	-0.0524706	0.186086	0.428745	0.513028	0.391458	0.439521	555	0	93	0.998586	0.0992593	0.169026	0.100206	0.100229	0.0165677	2134	2963	0	0.0403112
2	0	4419	388	374	853.521	1115.07	1136.3	-0.0427858	1.04681	1.70877	1.76353	1.56375	1.51129	418	0	92	0.998384	0.143957	0.245757	0.125301	0.125331	0.0249023	879	nan	nan	nan
2	1	5856	1055	1048	1131.07	1197.85	1124.01	0.112337	0.201722	0.260908	0.230808	0.247781	0.210636	563	0	99	0.999798	0.0900085	0.157958	0.100489	0.100501	0.0153446	2096	2877	0	0.0388742
3	0	4396	418	406	849.079	1094	1190.54	-0.195594	0.985379	1.59468	1.63799	1.46273	1.40867	393	0	90	0.99798	0.154039	0.254095	0.123492	0.123518	0.0240071	891	nan	nan	nan
3	1	5864	986	979	1132.62	1158.48	1214.35	-0.0848895	0.077999	0.312061	0.426225	0.294116	0.379978	560	0	97	0.999394	0.096367	0.165416	0.0971108	0.0971222	0.0159747	2146	2841	0	0.0299961
4	0	4671	514	497	902.194	1128.34	1248.04	-0.228239	0.85633	1.37742	1.41013	1.25394	1.19829	425	0	95	0.99899	0.146895	0.250482	0.119694	0.119729	0.0250486	911	nan	nan	nan
4	1	5956	941	921	1150.39	1187.06	1295.26	-0.161839	0.108924	0.455482	0.626653	0.405734	0.523122	573	0	95	0.99899	0.0911839	0.158999	0.0980858	0.0981182	0.0155295	1999	3002	0	0.0281864
5	0	4309	472	459	832.275	1046.09	1060.8	-0.0304084	0.877571	1.38818	1.40767	1.2698	1.20504	409	0	92	0.99798	0.125812	0.213971	0.120302	0.120331	0.0227756	900	nan	nan	nan
5	1	5725	994	983	1105.77	1111.84	1117.08	-0.00815314	0.018764	0.229456	0.348878	0.211119	0.302709	570	0	97	0.999394	0.0831586	0.146026	0.0953767	0.0953954	0.0146126	2088	2773	0	0.0306789
6	0	4628	479	465	893.889	1083.35	1170	-0.166755	0.724077	1.36158	1.5064	1.24444	1.29039	432	0	90	0.997172	0.148044	0.25	0.116022	0.116051	0.0247501	925	nan	nan	nan
